Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume
409,1.8,1.13,1.19,1.0,1.39,2.1,7.0,1.24
410,3.41,1.13,1.0,1.48,1.24,2.65,4.0,1.27
411,3.25,1.23,1.87,1.0,1.78,2.54,7.0,1.71
412,2.93,1.16,1.0,1.0,1.55,2.32,4.0,1.41
413,4.21,1.13,1.97,1.09,1.43,3.09,7.0,1.68
414,1.75,1.21,1.29,1.0,1.29,2.54,7.0,1.41
415,1.16,2.61,1.1,1.0,1.29,1.11,7.0,1.05
416,3.09,1.45,1.58,2.29,1.43,1.11,7.0,1.37
417,1.16,1.06,1.0,1.0,1.17,1.55,4.0,1.1
418,2.29,1.16,1.0,1.0,1.29,1.88,4.0,1.08
419,3.41,1.43,2.65,1.0,1.89,2.32,7.0,1.65
420,1.29,1.14,1.0,1.31,1.16,1.99,4.0,1.37
421,2.45,1.39,1.48,1.0,1.3,1.99,4.0,1.65
422,1.64,1.32,1.39,1.0,1.71,1.44,7.0,1.17
423,2.77,1.15,1.1,1.0,1.45,2.21,7.0,1.43
424,4.54,1.29,1.0,1.0,1.29,3.41,4.0,1.39
425,1.16,10.0,1.0,1.0,5.29,1.11,4.0,1.18
426,1.43,1.56,1.77,3.25,1.21,1.11,4.0,1.21
427,1.36,1.43,1.29,1.11,1.78,1.77,7.0,1.52
428,1.16,2.29,1.39,6.52,10.0,1.11,7.0,1.37
429,1.32,1.59,2.16,1.27,2.55,1.44,7.0,1.44
430,2.12,1.11,1.58,1.0,1.6,2.54,7.0,1.55
431,1.08,1.96,1.29,1.0,2.71,1.11,7.0,1.2
432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06
433,1.96,1.27,1.48,1.0,1.55,1.66,4.0,1.3
434,2.77,1.0,1.0,1.0,1.43,2.21,4.0,1.24
435,3.89,1.02,1.39,2.7,1.17,2.98,4.0,1.44
436,5.5,1.17,1.0,1.0,1.29,4.07,4.0,1.38
437,3.09,1.0,1.48,1.7,1.86,1.0,7.0,2.34
438,5.82,1.15,1.0,1.0,1.29,4.29,4.0,1.48
439,3.57,1.0,1.0,1.0,2.31,2.76,4.0,1.86
440,1.96,1.11,1.0,1.0,1.38,1.66,4.0,1.13
441,4.7,1.0,1.0,1.0,1.6,3.52,4.0,1.62
442,2.93,1.19,1.0,1.0,1.29,2.32,4.0,1.19
443,5.5,1.38,1.0,1.0,1.3,4.07,4.0,1.76
444,1.48,1.21,1.0,1.0,1.33,1.33,4.0,1.05
445,1.48,1.32,3.42,1.0,3.14,1.22,7.0,1.48
446,3.41,1.19,1.77,1.0,1.31,2.43,7.0,1.49
447,2.12,1.0,1.0,1.0,1.29,1.77,4.0,1.15
448,2.45,1.15,1.0,1.11,1.28,3.96,4.0,1.4
449,1.16,1.0,1.19,1.7,2.29,1.11,7.0,1.04
450,1.32,1.48,1.58,7.02,1.14,1.22,7.0,1.36
451,1.96,1.11,1.19,1.0,1.4,1.66,7.0,1.17
452,1.8,1.0,1.77,1.0,2.66,1.55,7.0,1.4
453,5.98,1.35,3.9,1.0,1.88,3.85,7.0,2.82
454,1.16,1.32,1.19,1.0,1.43,1.11,7.0,1.06
455,2.29,1.0,1.39,1.31,1.45,1.88,4.0,1.35
456,3.09,1.17,1.48,1.0,1.35,2.43,7.0,1.34
457,4.05,1.56,2.16,1.0,1.3,3.09,7.0,1.74
458,1.64,1.08,1.1,1.43,1.64,1.44,7.0,1.14
459,1.96,1.54,2.65,1.0,2.1,2.32,7.0,1.8
460,2.21,1.49,1.39,1.0,1.48,2.65,7.0,1.52
461,1.91,1.19,1.68,1.11,1.38,2.65,7.0,1.45
462,1.8,1.26,1.19,2.08,1.37,2.1,7.0,1.17
463,1.2,2.35,1.0,1.0,1.17,1.55,4.0,1.14
464,2.29,1.16,1.19,1.0,1.34,1.88,7.0,1.16
465,4.05,1.0,1.0,1.0,1.44,3.09,4.0,1.37
466,1.96,1.19,1.1,1.5,1.25,2.32,7.0,1.31
467,2.12,1.23,1.48,1.0,1.49,1.77,7.0,1.21
468,3.33,1.21,1.19,1.0,1.34,4.18,7.0,1.52
469,3.73,1.0,1.0,1.0,1.4,2.87,4.0,1.32
470,3.09,1.37,2.26,1.17,1.55,2.43,7.0,2.12
471,2.61,1.61,1.48,1.0,1.59,1.33,7.0,1.28
472,1.4,1.26,1.77,1.0,1.49,1.55,7.0,1.33
473,1.92,1.29,1.48,1.0,1.12,3.52,7.0,1.43
474,3.41,1.15,1.0,1.0,1.29,2.65,4.0,1.28
475,1.57,1.12,1.0,1.0,1.24,5.28,4.0,1.68
476,1.36,1.18,1.1,1.09,1.5,2.98,4.0,1.7
477,2.29,1.0,1.19,1.44,1.79,1.0,4.0,1.53
478,2.21,1.39,1.97,1.0,1.49,2.54,7.0,1.52
479,4.38,1.11,1.0,1.11,1.27,3.3,4.0,1.69
480,2.37,1.34,1.29,1.0,1.35,2.87,7.0,1.31
481,1.32,2.61,2.26,1.0,5.57,1.22,7.0,1.33
482,1.32,1.32,1.19,1.0,1.71,1.22,7.0,1.04
483,1.32,1.16,1.1,1.96,1.43,1.44,7.0,1.15
484,4.38,1.21,1.1,1.0,1.29,3.3,7.0,1.36
485,1.32,1.0,1.0,1.0,2.5,1.22,4.0,1.55
486,1.4,1.06,1.0,1.0,1.31,1.55,4.0,1.08
487,3.41,1.15,1.0,1.0,1.29,4.29,4.0,1.56
488,3.41,1.0,2.35,1.37,1.96,2.65,7.0,2.04
489,1.16,1.32,1.1,1.0,2.0,1.11,7.0,1.05
490,3.57,1.0,1.0,1.0,1.41,2.76,4.0,1.39
491,4.38,1.17,1.0,1.0,1.29,3.3,4.0,1.26
492,1.64,1.32,1.19,1.0,1.39,1.33,7.0,1.15
493,3.89,1.16,1.0,1.0,1.29,2.98,4.0,1.23
494,1.16,1.48,1.39,1.0,2.57,1.22,7.0,1.19
495,2.61,1.34,1.0,1.18,1.17,3.2,4.0,1.34
496,4.38,1.28,2.16,1.08,1.48,3.2,7.0,1.76
497,1.88,1.09,1.0,1.33,1.26,2.21,4.0,1.23
498,4.54,1.09,1.87,1.0,1.35,3.41,7.0,1.55
499,1.32,1.48,2.45,1.0,5.5,1.22,7.0,1.52
500,3.89,1.16,1.0,1.0,1.29,2.98,4.0,1.2
501,1.72,1.39,2.55,1.0,2.38,1.88,7.0,1.56
502,9.68,1.16,1.0,1.0,1.29,6.93,4.0,1.78
503,1.48,1.75,1.29,1.0,1.62,1.33,7.0,1.14
504,4.38,1.0,1.0,1.0,1.56,3.3,4.0,1.57
505,6.79,1.17,1.0,1.0,1.26,4.95,4.0,2.66
506,1.21,1.72,1.0,1.0,1.54,1.44,4.0,1.21
507,1.8,1.23,1.0,1.58,1.56,2.1,4.0,1.34
508,1.86,1.32,1.0,1.0,1.29,2.76,4.0,1.34
509,2.04,1.2,1.1,1.19,1.29,2.43,4.0,1.28
510,1.96,1.32,1.39,1.23,2.07,1.66,7.0,1.44
511,1.48,1.21,1.1,2.25,1.19,1.33,4.0,1.1
512,1.4,1.16,1.0,1.0,1.31,2.1,4.0,1.26
513,3.73,1.13,1.0,1.0,1.25,2.87,4.0,1.23
514,2.77,1.0,2.84,1.0,3.58,2.21,7.0,2.15
515,5.18,1.0,1.0,1.0,1.6,3.85,4.0,1.96
516,1.8,1.13,1.0,1.0,1.29,1.55,4.0,1.1
517,1.72,1.14,1.48,1.0,1.49,1.99,7.0,1.27
518,3.25,1.16,1.0,1.0,1.29,2.54,4.0,1.15
519,1.46,1.25,3.52,1.28,1.82,1.11,7.0,2.1
520,5.18,1.16,1.0,1.0,1.29,3.85,4.0,1.34
521,2.21,1.04,1.0,3.68,1.16,2.65,4.0,1.27
522,1.96,1.08,1.48,1.0,1.26,2.32,7.0,1.2
523,1.56,1.14,1.48,1.17,1.49,1.66,7.0,1.26
524,3.73,1.15,1.1,1.0,1.31,2.87,7.0,1.32
525,1.7,1.45,4.0,1.0,2.84,2.1,7.0,2.01
526,3.09,1.54,1.77,1.24,1.65,2.1,7.0,1.55
527,2.29,1.26,1.77,1.0,1.4,2.65,7.0,1.61
528,1.72,1.18,1.1,1.0,1.33,1.99,7.0,1.16
529,6.79,1.15,1.1,1.0,1.37,4.95,7.0,1.86
530,3.09,1.47,2.65,1.0,1.9,2.43,7.0,1.91
531,1.96,1.59,2.16,1.68,2.33,1.66,7.0,1.4
532,1.16,1.96,1.0,1.0,1.71,1.11,4.0,1.04
533,1.96,1.05,2.55,2.81,1.08,2.98,4.0,1.45
534,1.72,1.18,1.58,1.5,1.54,1.88,7.0,1.38
535,2.77,1.2,1.48,2.1,1.35,2.21,4.0,1.26
536,2.93,1.16,1.0,1.0,1.29,2.32,4.0,1.2
537,3.41,1.28,2.26,1.18,1.61,2.54,7.0,1.87
538,2.45,1.25,1.1,2.22,1.21,1.99,4.0,1.42
539,1.16,1.32,1.58,1.0,1.29,1.11,4.0,1.09
540,1.48,1.0,1.29,3.37,1.52,1.33,4.0,1.14
541,1.32,1.05,1.0,1.0,1.33,1.66,4.0,1.19
542,3.41,1.73,3.03,1.0,1.9,2.65,7.0,1.86
543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.41
544,1.16,1.32,1.58,4.75,2.57,1.11,7.0,1.13
545,1.48,1.54,1.68,1.0,2.95,1.33,7.0,1.26
546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
547,1.16,1.0,1.0,1.0,1.29,1.11,4.0,1.04
548,1.48,1.16,1.0,1.42,1.29,1.66,4.0,1.1
549,1.32,1.4,1.19,1.0,1.46,1.44,7.0,1.12
550,1.72,1.32,1.58,1.0,1.4,1.99,7.0,1.39
551,1.64,1.4,1.0,1.0,1.29,1.33,4.0,1.13
552,1.0,1.0,1.1,1.59,1.0,1.0,1.0,1.17
553,1.96,1.21,1.48,1.0,1.36,2.32,4.0,1.49
554,4.54,1.12,1.0,1.0,1.3,3.41,4.0,1.38
555,1.48,1.54,1.58,1.0,2.14,1.22,7.0,1.15
556,2.12,1.14,1.0,1.0,1.29,1.77,4.0,1.1
557,1.88,1.15,1.29,1.67,1.27,2.21,7.0,1.5
558,1.52,1.25,1.1,1.0,1.47,2.21,4.0,1.28
559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07
560,2.53,1.05,1.58,1.37,1.32,3.09,7.0,1.37
561,5.34,1.0,1.0,1.0,1.53,3.96,4.0,1.64
562,2.29,1.18,3.61,1.0,2.24,2.65,7.0,1.81
563,1.84,1.05,1.0,1.0,1.11,3.85,4.0,1.5
564,1.96,1.19,2.45,1.36,1.67,2.21,7.0,1.63
565,1.96,1.16,1.19,1.16,1.38,2.21,7.0,1.28
566,2.93,1.32,1.58,1.0,1.42,2.32,4.0,1.54
567,4.05,1.2,2.84,1.0,1.67,2.43,7.0,2.08
568,1.8,1.06,1.19,1.62,1.17,1.55,4.0,1.18
569,1.16,1.32,1.39,5.63,1.43,1.11,7.0,1.14
570,2.21,1.36,1.19,1.11,1.44,2.54,7.0,1.56
571,1.32,1.05,1.39,2.73,1.31,1.66,4.0,1.19
572,1.56,1.09,2.06,2.12,2.27,1.77,7.0,1.59
573,2.45,1.18,1.0,1.0,1.49,1.99,4.0,1.24
574,2.12,1.69,1.58,1.11,1.78,1.77,7.0,1.74
575,2.29,1.04,2.06,2.92,1.04,1.88,4.0,1.17
576,2.29,1.08,1.48,2.76,1.11,1.88,4.0,1.13
577,1.48,1.43,1.87,1.0,3.02,1.66,7.0,1.61
578,1.56,1.23,2.16,1.26,1.78,1.33,7.0,1.61
579,2.45,1.07,1.0,1.23,1.27,1.99,4.0,1.19
580,1.64,1.0,1.0,1.0,1.46,1.44,4.0,1.19
581,1.32,2.61,1.1,1.0,1.71,1.11,7.0,1.27
582,7.11,1.16,1.0,1.0,1.26,5.17,4.0,1.6
583,1.96,1.32,1.1,1.35,1.31,1.66,4.0,1.18
584,2.61,1.11,2.94,1.18,1.26,3.2,7.0,1.64
585,1.75,1.05,2.35,1.0,1.49,2.32,7.0,1.73
586,1.56,1.16,2.45,1.0,1.87,2.32,7.0,2.14
587,2.04,1.49,1.0,2.08,1.18,2.43,4.0,1.24
588,1.56,1.05,1.58,2.23,1.59,1.77,7.0,1.3
589,1.0,1.0,1.39,8.05,1.0,1.0,1.0,1.56
590,1.72,1.43,1.48,1.0,1.76,1.88,7.0,1.34
591,1.8,1.0,1.0,1.0,2.94,1.55,4.0,1.57
592,1.36,1.21,4.48,1.38,1.66,3.2,7.0,2.76
593,2.45,1.25,1.68,1.0,1.72,2.54,7.0,1.8
594,1.32,1.11,1.0,1.0,1.38,1.66,4.0,1.17
595,2.45,1.06,2.55,1.0,1.79,3.96,7.0,2.55
596,1.64,1.12,1.77,1.0,1.89,1.77,7.0,1.38
597,2.12,1.28,1.39,1.0,1.61,1.66,4.0,1.29
598,1.16,2.93,1.29,1.0,3.43,1.11,7.0,1.15
599,2.77,1.18,1.29,1.25,1.32,2.21,7.0,1.21
600,4.21,1.45,2.35,1.0,1.52,3.2,7.0,1.52
601,3.41,1.04,1.77,1.0,1.63,2.65,7.0,1.64
602,3.57,1.22,1.48,1.0,1.21,2.65,7.0,1.3
603,1.96,1.05,1.19,1.0,1.48,1.66,7.0,1.18
604,2.61,1.35,1.87,1.0,1.34,2.1,7.0,1.94
605,2.93,1.24,1.58,1.0,1.82,2.32,4.0,1.48
606,4.05,1.0,1.0,1.0,1.41,3.09,4.0,1.45
607,1.16,1.64,1.0,1.0,1.29,1.11,4.0,1.02
608,6.62,1.17,1.58,1.99,1.2,4.73,7.0,1.6
609,1.96,1.27,2.65,1.0,2.38,1.66,7.0,1.89
610,2.29,1.2,1.97,1.0,1.31,2.76,7.0,1.45
611,1.08,4.86,1.0,1.45,3.14,1.11,4.0,1.09
612,1.8,1.19,1.0,1.0,1.36,2.1,4.0,1.31
613,1.16,1.16,1.19,1.0,1.43,1.44,7.0,1.13
614,3.25,1.32,1.1,1.0,1.29,2.54,7.0,1.25
615,9.68,1.16,1.0,1.0,1.29,6.93,4.0,1.79
616,3.25,1.28,4.77,1.0,2.27,1.99,7.0,2.75
617,2.12,1.16,1.19,1.0,1.34,2.54,7.0,1.21
618,2.04,1.45,3.03,1.53,1.93,2.32,7.0,1.7
619,3.09,1.62,4.29,1.0,2.97,2.43,7.0,2.41
620,1.64,1.32,1.39,1.0,2.07,1.11,7.0,1.22
621,1.16,1.32,1.19,6.62,1.29,1.11,4.0,1.07
622,1.16,1.96,1.0,2.73,1.29,1.0,4.0,1.06
623,1.88,1.26,1.1,1.0,1.88,2.1,7.0,1.53
624,3.89,1.16,1.0,1.0,1.29,2.98,4.0,1.23
625,1.72,1.04,1.0,1.75,1.19,1.99,4.0,1.33
626,6.95,1.17,1.1,1.21,1.26,5.06,4.0,1.82
627,9.68,1.16,1.0,1.0,1.29,6.93,4.0,1.79
628,4.54,1.15,1.97,1.61,1.23,3.41,4.0,1.34
629,2.02,1.19,3.13,1.32,1.77,3.09,7.0,1.72
630,2.29,1.04,2.06,2.92,1.04,1.88,4.0,1.17
631,1.16,1.32,1.0,1.0,1.29,1.11,4.0,1.01
632,1.84,1.11,1.1,1.0,1.17,3.3,7.0,1.24
633,1.54,1.19,1.19,1.0,1.29,2.1,7.0,1.29
634,2.12,1.09,1.68,1.45,1.35,1.66,7.0,1.37
635,5.02,1.0,1.0,1.0,1.61,3.74,4.0,1.83
636,1.16,1.32,1.19,1.0,2.43,1.11,7.0,1.08
637,3.25,1.0,1.0,1.0,1.4,2.54,4.0,1.27
638,3.41,1.19,2.94,1.0,1.56,4.29,7.0,2.44
639,1.16,1.32,1.1,1.0,2.0,1.11,7.0,1.03
640,1.96,1.41,3.13,1.0,1.82,3.41,7.0,2.57
641,3.57,1.3,1.58,1.74,1.44,2.76,7.0,1.75
642,1.48,1.32,1.39,1.0,2.81,1.33,7.0,1.29
643,4.21,1.1,1.0,1.26,1.24,3.2,4.0,1.45
644,1.96,1.27,1.97,2.12,1.45,2.32,7.0,1.47
645,1.64,1.0,1.19,1.45,2.29,1.44,4.0,1.55
646,1.02,8.39,1.0,1.0,3.57,1.11,4.0,1.23
647,1.96,2.18,1.19,1.46,1.38,1.66,4.0,1.38
648,8.07,1.15,1.19,1.0,1.3,5.83,7.0,2.04
649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07
650,3.73,1.3,1.0,1.0,1.34,2.87,4.0,1.24
651,4.05,1.27,1.58,2.79,1.82,3.09,7.0,1.88
652,3.73,1.32,6.13,1.0,2.66,2.76,7.0,2.68
653,2.12,1.51,2.35,1.0,2.82,1.33,7.0,1.98
654,2.93,1.16,1.0,1.0,1.29,2.32,4.0,1.12
655,3.09,1.12,2.55,1.93,1.55,2.32,7.0,1.84
656,2.29,1.12,1.48,1.0,1.52,1.77,7.0,1.35
657,4.7,1.0,1.29,1.25,1.41,3.52,4.0,1.48
658,3.73,1.04,1.0,3.4,1.08,2.87,4.0,1.3
659,2.12,1.0,1.1,1.4,1.71,1.77,7.0,1.57
660,1.8,1.02,1.1,2.44,1.15,2.65,4.0,1.32
661,1.64,1.13,1.29,1.0,1.55,2.1,7.0,1.39
662,3.25,1.34,2.55,1.51,1.81,2.54,4.0,1.66
663,3.25,1.23,1.39,1.0,1.43,2.32,7.0,1.44
664,1.0,1.0,1.0,1.83,1.0,1.0,1.0,1.12
665,2.61,1.0,1.0,1.0,2.24,2.1,4.0,1.76
666,1.16,1.32,1.87,1.0,7.0,1.11,7.0,1.29
667,2.88,1.18,3.52,1.04,1.65,4.73,7.0,2.95
668,1.16,1.96,1.0,1.0,6.14,1.11,4.0,1.38
669,1.8,1.1,1.19,1.0,1.36,2.1,7.0,1.23
670,4.05,1.0,1.0,1.0,1.4,3.09,4.0,1.43
671,1.96,1.11,1.19,1.0,1.33,1.66,7.0,1.16
672,2.77,1.12,1.19,1.0,1.32,2.21,7.0,1.36
673,2.45,1.29,1.39,1.0,1.44,1.88,7.0,1.3
674,1.39,1.11,1.39,1.0,1.46,2.87,7.0,1.84
675,2.61,1.42,1.58,1.0,1.51,2.1,7.0,1.47
676,5.5,1.17,1.39,1.0,1.36,4.07,7.0,1.75
677,5.18,1.0,1.0,1.0,1.35,3.85,4.0,1.41
678,3.57,1.44,2.45,1.17,1.7,2.76,7.0,1.82
679,1.16,5.18,1.77,1.72,6.71,1.11,7.0,1.23
680,2.77,1.15,1.0,1.0,1.29,2.21,4.0,1.16
681,1.96,1.16,1.0,1.14,1.29,2.98,4.0,1.31
682,1.8,1.06,1.29,1.31,1.71,1.55,7.0,1.17
683,3.89,1.0,1.0,1.0,1.37,2.98,4.0,1.35
684,1.4,1.13,1.39,1.2,2.43,1.55,7.0,1.32
685,1.88,1.0,1.0,1.0,1.36,1.66,4.0,1.86
686,1.96,1.16,1.29,1.0,1.81,1.66,7.0,1.31
687,2.29,1.04,1.19,1.47,1.32,1.88,7.0,1.19
688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03
689,2.61,1.19,1.58,1.0,1.4,2.1,7.0,1.44
690,1.6,1.11,1.87,1.0,1.63,2.65,7.0,1.65
691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05
692,1.64,1.32,1.19,1.0,1.36,1.44,4.0,1.16
693,2.77,1.5,1.39,1.0,1.43,2.21,4.0,1.55
694,2.45,1.14,1.0,1.0,1.29,1.99,4.0,1.13
695,1.8,1.0,1.48,1.0,1.49,1.55,7.0,1.43
696,2.61,1.0,1.58,1.0,1.41,3.2,7.0,1.66
697,2.21,1.15,1.19,1.26,1.37,2.54,7.0,1.36
698,1.52,1.22,1.58,1.0,1.29,2.32,7.0,1.42
699,3.25,1.18,1.0,1.0,1.43,2.54,4.0,1.31
700,2.45,1.62,1.29,1.11,1.44,2.76,7.0,1.64
701,5.34,1.17,1.0,1.0,1.29,3.96,4.0,1.41
702,1.05,1.16,1.1,1.0,1.57,1.11,7.0,1.39
703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.27
704,3.89,1.32,1.0,1.0,1.29,2.98,4.0,1.26
705,2.21,1.15,1.77,1.0,1.52,2.65,7.0,1.54
706,1.32,1.32,1.0,1.0,1.29,1.0,4.0,1.06
707,1.16,6.46,1.19,7.75,3.57,1.11,4.0,1.26
708,1.64,1.08,1.39,1.52,1.43,1.44,7.0,1.19
709,1.16,1.32,1.39,1.0,4.0,1.11,7.0,1.09
710,1.96,1.11,1.0,1.0,1.24,1.66,4.0,1.26
711,2.07,1.18,1.0,1.0,1.51,3.2,4.0,1.66
712,1.24,1.64,1.1,1.45,1.19,1.33,4.0,1.15
713,3.09,1.45,1.68,1.47,1.43,2.43,7.0,1.52
714,1.0,1.0,1.39,1.0,1.0,1.0,1.0,1.2
715,1.4,1.26,1.1,1.51,1.29,1.55,4.0,1.09
716,2.21,1.17,2.35,1.0,1.88,2.43,7.0,1.81
717,3.57,1.0,1.0,1.0,1.4,2.76,4.0,1.36
718,2.21,1.21,2.06,1.0,1.61,2.65,7.0,1.49
719,1.96,1.29,1.29,1.0,1.32,2.32,7.0,1.39
720,1.32,1.0,1.0,1.0,1.93,1.22,4.0,1.45
721,1.86,1.14,1.77,1.32,1.46,2.76,7.0,1.67
722,2.29,1.48,1.29,1.0,2.18,1.44,7.0,1.91
723,3.57,1.4,2.55,1.0,1.72,2.76,7.0,2.15
724,5.18,1.0,1.29,1.0,1.65,3.85,7.0,1.95
725,2.29,1.16,1.1,1.3,1.3,1.88,7.0,1.16
726,2.61,1.16,1.0,1.0,1.29,2.1,4.0,1.11
727,2.12,1.0,1.0,1.0,1.71,1.77,4.0,1.33
728,1.8,1.06,1.39,1.0,1.54,1.55,7.0,1.3
729,1.24,1.0,1.0,1.0,1.29,1.33,4.0,1.04
730,1.48,1.64,1.0,1.98,2.0,1.33,4.0,1.17
731,2.12,1.14,1.19,1.0,1.35,1.77,7.0,1.15
732,2.04,1.12,1.0,1.0,1.24,2.43,4.0,1.17
733,1.47,1.11,1.0,1.0,1.29,10.0,4.0,2.72
734,3.57,1.0,1.0,1.0,1.26,2.76,4.0,1.38
735,1.08,1.96,1.0,1.0,1.86,1.11,4.0,1.11
736,1.16,1.0,1.1,1.0,1.71,1.11,7.0,1.06
737,1.75,1.14,2.45,1.0,1.83,2.43,7.0,2.0
738,5.18,1.0,1.0,1.0,1.42,3.85,4.0,1.51
739,4.21,1.0,1.0,3.02,1.01,3.2,4.0,1.26
740,2.93,1.05,1.19,1.0,1.37,2.32,7.0,1.24
741,7.91,1.15,1.0,1.0,1.28,5.72,4.0,1.72
742,2.45,1.36,1.48,1.0,1.44,1.99,7.0,1.24
743,4.21,1.0,1.0,1.0,1.54,3.2,4.0,1.52
744,3.09,1.27,1.1,1.0,1.58,2.32,7.0,1.59
745,4.05,1.0,1.0,1.0,1.39,3.09,4.0,1.39
746,2.37,1.11,1.0,1.0,1.15,2.87,4.0,1.33
747,2.93,1.27,1.29,1.0,1.5,2.32,7.0,1.69
748,2.12,1.05,1.77,2.32,1.36,1.0,7.0,1.74
749,2.77,1.15,1.0,1.0,1.29,2.21,4.0,1.19
750,4.21,1.0,1.0,1.0,1.38,3.2,4.0,1.38
751,2.12,1.0,1.0,1.0,1.59,1.77,4.0,1.14
752,3.09,1.45,3.61,1.86,2.49,2.43,7.0,2.12
753,1.64,1.0,1.0,1.66,2.5,1.44,4.0,1.23
754,4.7,1.27,2.26,1.18,1.8,3.2,7.0,2.51
755,2.61,1.16,1.1,1.74,1.41,2.1,7.0,1.5
756,2.12,1.28,1.29,1.16,1.65,1.66,7.0,1.41
757,4.05,1.14,1.68,1.0,1.37,3.09,7.0,1.55
758,1.16,1.48,1.29,1.39,1.93,1.22,7.0,1.17
759,2.5,1.16,1.0,1.0,1.28,4.07,4.0,1.4
760,3.09,1.25,1.0,1.0,1.44,2.43,4.0,1.63
761,1.8,1.32,1.39,1.0,1.51,1.22,7.0,1.28
762,1.96,1.0,1.0,1.0,2.1,1.66,4.0,1.4
763,2.29,1.36,1.58,1.15,1.64,1.88,7.0,1.57
764,1.48,1.21,1.1,1.0,1.43,1.33,7.0,1.08
765,2.29,1.6,1.0,1.0,1.29,1.88,4.0,1.2
766,3.09,1.3,1.29,1.0,1.37,2.43,7.0,1.23
767,6.95,1.18,1.0,1.0,1.29,5.06,4.0,1.57
768,2.77,1.0,1.0,1.0,1.36,2.21,4.0,1.23
769,2.12,1.09,1.58,1.0,1.69,1.44,7.0,1.35
770,3.41,1.13,1.39,1.0,1.62,2.65,7.0,1.65
771,2.77,1.01,1.0,2.24,1.19,3.41,4.0,1.34
772,3.25,1.16,1.0,1.0,1.29,2.54,4.0,1.16
773,1.16,1.64,1.0,1.0,1.29,1.11,4.0,1.03
774,3.09,1.17,1.48,1.0,1.42,2.43,7.0,1.26
775,2.12,1.14,1.1,1.0,1.57,1.66,7.0,1.23
776,1.16,1.32,1.0,1.0,1.29,1.11,4.0,1.04
777,4.21,1.0,1.58,1.5,1.38,3.2,4.0,1.5
778,1.44,1.29,1.48,2.33,1.52,2.21,7.0,1.38
779,1.28,1.18,1.48,1.0,1.92,1.77,4.0,1.63
780,2.61,1.23,2.26,1.34,1.31,1.88,4.0,1.61
781,1.16,2.29,1.1,4.89,2.0,1.22,4.0,1.28
782,3.57,1.42,1.48,1.0,1.4,2.76,7.0,1.47
783,1.48,1.0,1.0,1.0,1.29,1.33,4.0,1.06
784,3.73,1.4,2.94,6.0,1.98,2.87,7.0,3.53
785,3.09,1.84,4.29,1.0,3.08,2.43,7.0,2.55
786,1.16,1.32,1.77,1.0,5.86,1.11,7.0,1.13
787,1.32,2.12,1.0,1.0,1.29,1.22,4.0,1.05
788,1.32,1.48,1.48,1.72,2.43,1.22,7.0,1.35
789,1.4,1.19,1.97,1.35,2.37,1.55,10.0,1.42
790,1.24,1.54,1.19,5.25,2.14,1.33,4.0,1.4
791,2.61,1.16,1.29,1.0,1.47,1.99,7.0,1.33
792,1.43,1.36,1.29,2.25,1.7,1.66,7.0,1.46
793,3.89,1.0,1.0,1.0,1.29,2.98,4.0,1.54
794,1.56,1.0,1.1,1.0,1.73,1.77,7.0,1.31
795,1.52,1.25,1.48,1.12,1.51,2.43,7.0,1.53
796,1.16,1.32,1.1,1.0,2.86,1.11,7.0,1.11
797,1.64,1.0,1.19,1.0,1.43,1.44,7.0,1.25
798,3.73,1.17,1.0,1.0,1.34,2.87,4.0,1.36
799,3.41,1.28,1.87,1.0,1.38,2.65,7.0,1.6
800,2.77,1.09,1.19,1.0,1.47,2.21,7.0,1.37
801,8.39,1.17,1.0,1.0,1.29,6.05,4.0,1.69
802,2.77,1.23,1.39,1.0,1.21,2.21,4.0,1.2
803,1.48,1.04,1.19,1.15,1.4,1.99,7.0,1.34
804,2.04,1.17,1.0,1.0,1.29,2.43,4.0,1.17
805,4.38,1.15,1.0,1.0,1.29,3.3,4.0,1.39
806,1.72,1.29,1.58,1.79,1.27,2.87,7.0,1.55
807,2.29,1.2,1.48,1.17,1.25,1.88,4.0,1.4
808,5.34,1.17,1.0,1.0,1.29,3.96,4.0,1.36
809,5.02,1.15,1.0,1.0,1.29,3.74,4.0,1.46
810,2.77,1.18,1.48,2.61,1.05,2.21,7.0,1.27
811,1.2,1.26,1.1,1.0,1.4,1.55,7.0,1.09
812,1.64,1.64,1.0,1.0,1.29,1.44,4.0,1.05
813,3.57,1.06,1.0,1.0,1.37,2.65,4.0,1.37
814,2.29,1.08,1.0,1.0,1.43,1.88,4.0,1.19
815,2.12,1.0,1.19,1.0,1.37,1.77,4.0,1.17
816,1.64,1.08,1.1,1.0,1.46,1.44,7.0,1.13
817,1.68,1.02,1.0,1.0,1.22,2.87,4.0,1.19
818,2.61,1.16,1.0,1.0,1.29,2.1,4.0,1.1
